Speaker	Statement	Rating
Clay Pell	My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer	1
Clay Pell	Rhode Island has the highest dropout rate in New England at twenty-three percent	2
Rick Kriseman	For anybody who's trying to cross the street and has seen those signs that say you have to stop when pedestrians are in the crosswalk, that was a bill that I passed	1
Rick Kriseman	The fact is that red light cameras change driver behavior and cut down on the most dangerous types of accidents	2
Rick Kriseman	Unfortunately, since Mr. Foster's been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office	4
Rick Kriseman	Since Mr. Foster's been mayor, we have less small businesses in the city of St. Petersburg	4
Heritage Foundation	FACT: Repealing Obamacare would be easier than repealing Prohibition	2
Jesse Ventura	Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65	1
Jesse Ventura	Fluoride in the water, that was originally done by the Nazis	5
Mark Herring	By age 65, the average woman will have lost $431,000 throughout her working career was a result of the pay gap	1
Democratic Party of Wisconsin	Two elections in a row (Waukesha County Clerk Kathy Nickolaus) has screwed up counting the vote	5
Democratic Party of Wisconsin	The national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation, including Wisconsin	0
Democratic Party of Wisconsin	(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are  shutting down town hall meetings, or making their constituents pay to attend them	5
Democratic Party of Wisconsin	Hes been in office nearly four years now, but 40% of Wisconsinites don't know who (U.S. Sen.) Ron Johnson is	3
Diane McKeel	Studies show the average age of entry into prostitution is 12 to 14 years old	2
Steven Rattner	Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole	1
Mother Jones	Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds	0
J.D. Alexander	The Constitution doesn't allow the governor to not-spend appropriations funds	2
J.D. Alexander	It takes as much energy to make a solar panel as it likely generates in its entire life	5
Curtis Foltz	The study of the Savannah River Estuary . . . clearly demonstrates the project can be constructed and [environmental] impacts will be mitigated	2
Nathan Deal	Illegal aliens are costing Georgia taxpayers over a billion dollars every year	2
Nathan Deal	Jason Carters plan: increase spending by $12.5 billion	4
Nathan Deal	Over the last 10 years, Georgia's public health has declined	2
Nathan Deal	Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months	0
Nathan Deal	Roy Barnes proclaimed Mexican workers good for Georgia	2
Nathan Deal	The health care price tag for childhood obesity in Georgia is $2.4 billion annually and rising	4
Nathan Deal	We have been confronted with an unexpected storm that has hit the metropolitan area	3
Nathan Deal	Since the beginning of the economic downturn in FY 2008, the state workforce has been reduced by 12.4 percent as part of overall cost savings measures to balance the budget to reduce revenues	3
Nathan Deal	Right now in Georgia, nearly one in three leaving our prisons are re-convicted within three years	0
Nathan Deal	Since last years address, more than 10,000 jobs created -- many on the high end of the employment scale	1
Nathan Deal	During my administration, funding for education has increased by over $930 million	2
Nathan Deal	Georgia is now the eighth most populous state in the nation, moving from the number 10 position in just four years	1
Nathan Deal	Georgia still has one of the richest programs in terms of scholarships for students to go to college	0
Nathan Deal	One out of every three automobile fatalities can be attributed to alcohol	0
Nathan Deal	Since 2010, eight children in Georgia have died due to vehicular heatstroke	0
Nathan Deal	As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it	1
Nathan Deal	Spending of government money is 17 percent less than it was a decade ago	0
Nathan Deal	[The state ethics commission] took absolutely the same percent of cuts as most other state agencies.  They were somewhere in the 7 percent range  same as the governors office	0
Nathan Deal	(M)ore Georgians have jobs than at any other time since October 2008	0
Adam Schefter	Odd fact for odd draft: No. 2 overall pick will earn more than the No. 1 pick due to no state tax in Florida. So 2 not so bad	1
Andy Brown	Travis County now has the highest urban county tax rate in Texas	1
Rebecca Kleefisch	The Wisconsin Legislature raised taxes more than $5 billion in 2009	4
Rebecca Kleefisch	United States students are achieving at number 25 out of 29 developing countries when it comes to science and math	4
Rebecca Kleefisch	Wisconsin still ranks first among the 50 states in manufacturing jobs per capita	0
Rebecca Kleefisch	Tom Barrett supports a government takeover of our health care	5
Progress Texas	The Confederate battle flag never flew over Texas, but... you might soon see it on our license plates	2
Progress Texas	Rick Perry ended full-day Pre-K for 100,000 Texas children	3
Cathie Adams	Bill White ... supports the ObamaCare socialized medicine plan, as well as Cap and Trade legislation that would kill thousands of Texas jobs	5
Cathie Adams	ObamaCare will use your tax dollars to provide free Viagra to convicted rapists and registered sex offenders	2
Cathie Adams	Bill White spent his city billions of dollars into debt (and) saw crime rates soar while he backed gun control	3
Gary Schaer	Hair stylists are required to undergo more government scrutiny than foreclosure consultants	0
Direct Action for Rights & Equality	Roughly 25% of RI has a criminal record	5
Rahm Emanuel	In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change	4
Rahm Emanuel	If the Republicans were the majority, (Rep. Barton) would have actually the gavel and the chairmanship	2
Rahm Emanuel	We've added, in the last eight years, $4 trillion of debt to the nation's obligations	1
New Hampshire Republican Party	Shaheen votes with Obama 99 percent of the time	1
George W. Bush	Sen. Joe Biden, the ranking member of the Foreign Relations Committee, recommended partitioning Iraq into three separate entities	2
William Perry	Eleven states have enacted these pay-to-play reforms	1
Sean Spicer	In the last three years alone, 13 times, the Supreme Court, unanimously, 9-0, including all of the president's liberal picks, have struck down the president's executive orders	5
Raging Elephants	Martin Luther King Jr. was a Republican	4
J.D. Hayworth	The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse	5
J.D. Hayworth	Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed	5
Nancy  Pelosi	In the first year of the Obama administration, more jobs were created in the private sector than in the eight years of the Bush administration	4
Nancy  Pelosi	I don't know who (Jonathan Gruber) is	4
Nancy  Pelosi	More than 64 percent of minimum-wage earners are women	0
Nancy  Pelosi	More private-sector jobs were created in the first eight months of 2010 than in the eight years of the Bush administration	2
Nancy  Pelosi	Whether in Illinois or Washington, Barack Obama has bridged partisanship to bring about significant reform	2
Nancy  Pelosi	The House of Representatives has never sued a sitting president in all of U.S. history	0
Nancy  Pelosi	This year, we have added an average of 200,000 jobs per month, a majority in the private sector, a stark contrast to the Bush Administration record of losing an average of nearly 750,000 jobs per month in its last three months	2
Nancy  Pelosi	We were not, I repeat, were not told that waterboarding or any of these other enhanced interrogation methods were used	4
Nancy  Pelosi	The Affordable Care Act is bringing the cost of health care in our country down	2
Nancy  Pelosi	The (health care) law does not demand that all of these cancellations go out	3
Nancy  Pelosi	The Capitol was built by slaves	0
David Perdue	Michelle Nunns own plan says she funded organizations linked to terrorists	5
David Perdue	There are only about 10 people in the United States Senate who have any real business experience	1
Kasim Reed	you cannot implement Paul Ryans plan without allowing for any increases in revenue	2
Kasim Reed	Five members of [the Common Cause Georgia] board accepted maximum campaign contributions	2
Kasim Reed	We also have, in a park thats not far from here, an ability to build a reservoir that can hold a 30-day water supply for the city of Atlanta	1
Kasim Reed	Peachtree and Pine is one of the leading sites for tuberculosis in the nation	1
Kasim Reed	State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal	0
Kasim Reed	Right now, we only keep 50 percent of Georgia Tech's graduates	1
Kasim Reed	The minimum number of infrastructure (needs) in Atlanta is $900 million	0
Kasim Reed	We have cut crime across every single zone in the city of Atlanta by between 10 percent and 16 percent, depending on the zone	2
Adam Hasner	Obama-Nelson economic record: Job creation ... at slowest post-recession rate since Great Depression	1
Adam Hasner	Earlier this year, the head of the Congressional Budget Office testified before Congress that implementation of Obamacare would cost 800,000 jobs	3
Adam Hasner	I sponsored and was the co-sponsor of the only legislation that ever passed that had E-Verify provisions in it back in 2010 when I served in the Legislature	4
Adam Hasner	George LeMieux voted against the majority of Republicans and joined with Democrats to create a 'Task Force For Responsible Fiscal Action' that looks strikingly similar to the 'Super Committee' now being set up in Washington to justify massive tax hikes	2
Adam Hasner	President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York	1
Michael Cerullo	Marijuana contains 50 to 70 percent more carcinogenic hydrocarbons than tobacco	3
Tweets	Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium	2
Tweets	Obama has jumped the shark and ordered the ocean closed	4
Tweets	In the 513 days between Trayvon dying, and todays verdict, 11,106 African-Americans have been murdered by other African-Americans	3
Stuart Varney	It will cost $50,000 per enrollee in Obamacare over the next 10 years	4
Greater Wisconsin Committee	Scott Walker opposed a plan to help Wisconsin students refinance their student loans	4
Greater Wisconsin Committee	Scott Walker cut school funding more per student than any governor in America	1
Greater Wisconsin Committee	Scott Walker favors cutting up to 350,000 families and children off health care	2
Larry Ahern	We don't need a separate (prescription drug) database ... Pharmacies already have a database in place	4
Tom Kean 	I built the last nuclear plant  not only in the state, but in the country	2
Ann Coulter	One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature	4
Ann Coulter	America has already taken in one-fourth of Mexico's entire population	5
Ann Coulter	Obama's Justice-designate Sotomayor threw out (the New Haven firefighters') lawsuit in a sneaky, unsigned opinion -- the judicial equivalent of 'talk to the hand	4
Ann Coulter	There have been more terrorist attacks on U.S. soil by ... Muslims in Obama's first 18 months in office than in the six years under Bush after he invaded Iraq	2
Ann Coulter	No doctors who went to an American medical school will be accepting Obamacare	5
Ann Coulter	Husbands rarely beat up their wives. Single women get beaten up more	2
Ann Coulter	There is a growing body of evidence that radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer	3
Judicial Watch	A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman	3
Judicial Watch	ISIS camp a few miles from Texas, Mexican authorities confirm	4
Craig James	Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms	5
Greg Steube	You know how many children in the history of the United States have died in a fire (at school)? Zero	4
Bryan Fischer	We know how to stop AIDS: persuade men not to have sex with men	5
Bryan Fischer	By the word religion in the First Amendment, the founders meant Christianity	5
Julia Hurley	If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks	3
Jane Norton	Ken Buck's (District Attorney's) office? His spending skyrocketed by 40 percent	1
John Lott	The United States doesnt have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States	2
Jeff Kruse	for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut	5
Scott Surovell	Eighty-five percent of the states in the United States that had electrocution have now abolished it	1
Scott Surovell	When did the decline of coal start? It started when natural gas took off  that started to begin in (President George W.) Bushs administration	2
Yes on 8	There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level	1
John Barge	We have about six school districts that are in school 140 to 150 days this year	1
Rand Paul	We borrow a million dollars every minute	1
Rand Paul	The president is advocating a drone strike program in America	4
Rand Paul	Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour	0
Rand Paul	Washington has incentivized the militarization of local police precincts	0
Rand Paul	The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence	1
Rand Paul	Why didn't (uninsured Americans) buy insurance? Because of the expense	0
Rand Paul	(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasnt using the proper server	0
Rand Paul	We've seen priests beheaded by the Islamic rebels on the other side. We've also seen an Islamic rebel eating the heart of a soldier	2
Rand Paul	The founders of New Hampshire came up with the motto Live Free or Die	4
Rand Paul	$2.4 million of the NIH dollars was spent on origami condoms	1
Rand Paul	We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So we've taken 5 percent away from the private sector	0
Rand Paul	When the president's spokesman was asked about (Anwar) al-Awlaki's son,  he said he should have chosen a more responsible father	2
Rand Paul	The president won the youth vote 3 to1, but his numbers have dropped 20, 30 percent among the youth	1
Rand Paul	The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget	1
Rand Paul	Over half the people on disability are either anxious or their back hurts	4
Rand Paul	Income inequality is worse in towns run by Democrat mayors than in towns run by Republican mayors	2
Rand Paul	Eighty-five percent of government's running right now. Only 15 percent of government spending is shut down	2
Rand Paul	When you look at the earned income tax credit, it has about a 25 percent fraud rate. We're looking at $20 billion to $30 billion	2
Rand Paul	It cost us more to shut the government down than to keep it open	0
Rand Paul	The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year	4
Rand Paul	There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens	1
Rand Paul	When (John) Brennan ... was asked directly  Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation	0
Rand Paul	There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money	0
Janet Adkins	We have been teaching these (Common Core) standards in Florida schools since 2010	3
Log Cabin Republicans	Mitt Romney opposed the gun lobby, even Ronald Reagan	1
Don Zimmerman	Every time you buy an airline ticket, the federal government runs a background check on you	3
Don Zimmerman	You don't have to be as smart as a fifth-grader to know what causes the climate is the sun. The sun. I have people tell me, Carbon dioxide warms the Earth. No, it doesn't. The sun warms the Earth	3
Steve Rothman	The Republicans just voted last year to end Medicare	4
Steve Rothman	Bill Pascrell voted to eliminate all estate taxes for billionaires, and I voted no	3
Steve Rothman	They're paying a less rate of tax -- these richest people in America -- than they have in the last 80 years	1
Steve Rothman	Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece	0
Other Space	By declaring that Pluto was no longer a planet, the (International Astronomical Union) put into place a planetary definition that would have even declassified Earth as a planet if it existed as far from the sun as Pluto does	2
E.W. Jackson	In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth	0
Pamela Geller	In Muslim countries, under the Sharia, there is a death penalty for blaspheming Mohammad	2
Jim Cooper	Congress as a whole is less popular than its been since polling was invented	0
Sherrod Brown	Understand, this is unemployment insurance. Its not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when youre working. You get help when youre not	1
Sherrod Brown	For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated	0
Sherrod Brown	Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP	0
Sherrod Brown	Foreign companies in the United States have a significantly higher unionization rate than other companies overall	0
Sherrod Brown	While Mandel's been busy traveling the country raising campaign money, he hasn't shown up for work	2
Sherrod Brown	Rooting for the Red Sox is like rooting for the drug companies	0
Sherrod Brown	There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs	0
Sherrod Brown	More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life	1
Sherrod Brown	When Josh Mandel claims to have accepted three debates with Sen. Sherrod Brown, he is lying. He has accepted ZERO proposed debates	5
Sherrod Brown	Eighty-seven percent of private insurance plans currently include (abortion) coverage	1
Sherrod Brown	Hitler didn't want unions. Stalin didn't want unions. Mubarak didn't want independent unions. These autocrats in history don't want independent unions	0
Sherrod Brown	Three in four low-income workers dont have any paid sick days available	0
Sherrod Brown	We buy 35 percent of all Chinese exports	2
Leonard Lance	The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget	0
Leonard Lance	When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American	0
Leonard Lance	Recently we have seen our government debt grow by $3.4 trillion during the first 29 months of the Obama administration -- the equivalent of about $4 billion per day	2
Leonard Lance	The Internal Revenue code has ballooned to a 5,600-page, 4 million-word complicated mess that is seven times as long as the Bible with none of the good news	1
Leonard Lance	The United States currently has the highest corporate tax rate in the world	1
Erika Sanzi	Of the 10,000 Rhode Island children in charter school lotteries for the fall, more than 70 percent are poor .... In addition, a majority of them are students of color	1
Snooki	Obama put a 10 percent tax on tanning	0
Protect Your Vote	Liberal out-of-state special interests are spending millions on 5 and 6 to change the way Florida draws its congressional and legislative districts	2
Citizens for Transportation Mobility	When housing and transportation costs are combined, Atlantas cost of living -- typically perceived as relatively low -- ranks as 7th worst out of 51 metros nationally	2
Kelly  Ayotte	The president's first major foreign policy speech in Cairo was to apologize for our country	4
Kelly  Ayotte	When total Sandy spending is added up, it's more than the annual budget for the U.S. Department of Homeland Security. And it's more than twice the annual budget of the U.S. Energy Department	1
Kelly  Ayotte	Under President Bush in eight years, we added $4.9 trillion to the debt. Under President Obama, we've added $5.3 trillion to the debt in the 3.5 years he's been in office	1
Karen Handel	Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery	3
Karen Handel	John Oxendine is under a state ethics investigation because he illegally funneled more than $120,000 to his campaign from shady insurance political action committees in Alabama	2
Karen Handel	Obamacare will provide coverage for abortions, despite the presidents commitment that it would not	1
Karen Handel	The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will	0
Karen Handel	The Senate immigration bill is  filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos	0
Dan Gelber	After (Jeb) Bushs two terms in office, Floridas graduation rate was dead last and remains near the bottom	1
Dan Gelber	Florida leads the nation in elected officials charged with crimes	2
Dan Gelber	Pam Bonditold a group of lobbyists shell side with corporate special interests as attorney general	3
Kenneth Block	Eleven states complete their [legislative] sessions within three calendar months, and another five only meet biennially	1
Kenneth Block	More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didn't have a single Moderate on their ballot	1
Kenneth Block	(I) helped to invent a system that saved over a billion dollars on welfare	0
Kenneth Block	The increase in the garbage tax that [Mayor Allan Fung] imposed in Cranston for some people has been as much as $200	4
Jim Webb	Ronald Reagan raised the national debt 18 times	0
Jim Webb	The United States has the highest incarceration rate in the world	1
Jim Webb	We did not even have a federal income tax in this country until 1913	1
Jim Webb	The stock market has almost tripled since April of 2009	1
Steny Hoyer	The majority of (the American people) voted for a Democratic House	1
Steny Hoyer	The Republicans didn't have a budget in '02, '04, '06	2
Steny Hoyer	Some 500 detainees were released from Guantanamo during the Bush administration	1
Steny Hoyer	We went from a $5.6 trillion surplus that George Bush inherited to over ... $11-plus trillion debt when George Bush left office	2
New Jersey Republican State Committee	Corrupt political bosses. Money laundering. Fraud. Its just another day at the office for Vin Gopal	5
New Jersey Republican State Committee	And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state	4
Tony Perkins	We're already seeing bakers and florists and photographers forced to participate in same-sex marriages under the threat of law and in some cases even jail	2
Tony Perkins	We know from the social science that children do best with a mom and a dad	4
Jim Sensenbrenner	I've done more impeachments than anybody else in the history of the country	0
Jim Sensenbrenner	We have the highest corporate tax rate in the world. Its 35 percent	0
Jim Sensenbrenner	75 percent of the (air traffic control) towers the Obama Administration is closing are located in Republican Congressional Districts	4
Jim Sensenbrenner	We had a debate on whether ObamaCare was the way to go to fix up health care and the American voters said no -- emphatically	3
Jim Sensenbrenner	One of the biggest polluters in our country is the Milwaukee Metropolitan Sewerage District	4
Phil Gingrey	[A]n extra 8 million Americans [are] projected to join state Medicaid programs in the next few years	2
Democratic Party of Oregon	Bruce Starr voted to throw 6,000 Oregonians off unemployment	2
Democratic Party of Oregon	In fact, 85 percent of Oregonians voted in 2008	4
DeKalb County	The Greenest County in America	3
Mike Pence	To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law	2
Mike Pence	This administration and this Congress have been systematically cutting funding to border security since the Democrats took control	4
Mike Pence	Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues	4
Mike Pence	As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent	2
Mike Pence	Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one	4
Mike Pence	Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks	0
Elizabeth Cohen	If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person	0
Ohio Federation of Teachers	The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement	3
Steve Buckstein	Did you know Wisconsin's AFSCME union has lost 50%+ of its members since no longer requiring membership	1
Dave Schwartz	Twenty-four percent of doctors in Virginia currently dont accept new Medicaid patients because the reimbursement rates are so low	1
Glenn Beck	This town (Wilmington, Ohio) hasnt taken any money from the government. They dont want any money from the government	5
Glenn Beck	A few weeks ago Obama took Hamas and Iran OFF the terror list	4
Glenn Beck	The government is trying to now close the Lincoln Memorial for any kind of large gatherings	5
Glenn Beck	The 2000 Census cost $4.5 billion. The 2010 Census is set to cost up to $14.5 billion	2
Glenn Beck	Why do we have automatic citizenship upon birth? We're the only country in the world that has it	4
Glenn Beck	Thomas Jefferson created the Marines for the Islamic pirates that were happening	2
Glenn Beck	When Social Security started, age expectancy for the average man was 58. It was 62 -- 62 for women	0
Glenn Beck	You don't know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s	3
Glenn Beck	In the health care bill, we're now offering insurance for dogs	5
Glenn Beck	Every time somebody new gets the Ebola virus, it mutates	2
David Sutton	excise taxes are...disproportionately burdening middle- and lower-income consumers	1
Alexander Snitker	Snitker has been virtually ignored by the major media	0
Paul Hirschbiel	Virginia papers called (Scott) Rigells campaign Mostly False	5
Sabino Pio Renteria	Fifteen years ago, you couldn't even get a pizza delivered in that neighborhood	3
Austan Goolsbee	Over the last 15 months, we've added more than 2 million jobs in the private sector. That's far in excess of what it was in the comparable period after the last recession	1
Austan Goolsbee	Manufacturing is having its best employment year in almost 15 years	1
Nicholas Kettle	If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates	3
Portland Public Schools	PPS employees have paid their own PERS contributions for many years	0
Ending Spending Action Fund	In six years, (U.S. Rep. Gary) Peters introduced zero bills that became law	3
Bob Terry	And weve constantly been the lowest unemployed county in the state	4
Mayors Against Illegal Guns	Rep. Frank Wolf voted to allow terror suspects to buy guns	2
Jennifer Parrish	Six years after unionization, 20,000 fewer children in Illinois were being served by the Child Care and Development Fund program	3
Andy Duyck	Weve dedicated more money from (Washington Countys) transportation budget to bike and ped projects under my watch than at any time in the history of Washington County	1
Michael Skolnik	For most black people in the history of this country  it was illegal to pass as a white person. You were actually put in jail if you tried to pass	2
National Republican Congressional Committee	The House Democrats' so-called 'stimulus' has been stuffed with an astonishing $335 million to fund prevention programs of sexually transmitted diseases	1
National Republican Congressional Committee	Even if you took literally every single ounce of platinum in the world, it still wouldnt add up to enough needed to pay down our nations debt	0
National Republican Congressional Committee	Congressman Patrick Murphy voted to keep the scandal-ridden IRS in charge of enforcing Obamacare	3
National Republican Congressional Committee	Gerry Connolly and his fellow Democrats went on a spending spree and now their credit card is maxed out	3
National Republican Congressional Committee	John Barrow voted with Obama 85 percent of the time	3
National Republican Congressional Committee	As the Democrats finally maxed out their government spending credit card Monday, Kurt Schrader continued to stand with his party leaders in failing to offer any viable long-term solution	4
National Republican Congressional Committee	Minnick voted to let the government fund abortion under Obamacare	4
National Republican Congressional Committee	Betty Sutton and her fellow Democrats went on a spending spree and now their credit card is maxed out	3
National Republican Congressional Committee	The federal government borrows $4 billion every day	1
National Republican Congressional Committee	Since President Obama took full control of Washington  every single day, more than 1,500 of our jobs have been lost	3
National Republican Congressional Committee	Nonpartisan government analysts say Obamacare will cost our economy up to 2.5 million jobs	3
National Republican Congressional Committee	Nick Rahall voted with Obama 94 percent of the time	2
National Republican Congressional Committee	With nearly 75 percent of Americans supportive of the construction of the pipeline, Schrader needs to explain to Oregon families why he voted against this needed project	1
National Republican Congressional Committee	Kurt Schrader supports Obamas sequester  but wont cut $1.6 million to fund new video games	5
Chris  Bollwage	Our jobless rate, our unemployment rate, is the lowest of all of the big cities in New Jersey	4
Turn Right USA	Janice Hahn hired hard-core gang members with taxpayer money to be 'gang-intervention specialists.' She even helped them get out of jail, so they could rape and kill again	4
Barbara Comstock	Did you know under President Obama family health care premiums have increased $4,154 on the average	3
Ted Ankrum	More people were killed in the United States last year by tainted food than U.S. troops killed in Iraq and Afghanistan since the wars began	4
Monica Wehby	Jeff Merkley was the deciding vote on Obamacare, which in Oregon has been an unmitigated disaster	4
Christopher Blazejewski	Under current law, if you go on a dating website and you say you're 32 and you're actually 42, you've committed a misdemeanor	0
Christopher Blazejewski	In 32 other states and Washington D.C., they [voters] can avoid the wait by voting before Election Day	0
Albert Papp Jr.	Last year -- actually, this year in May -- we saw New Jersey Transit fares rise anywhere from 25 percent to 47 percent	1
Liberty Institute	An attack on a healthy 22-year-old homosexual man would be more protected under the law than an attack on an eight-year-old child	2
Atlanta Police Foundation	Crime in Atlanta is down 18 percent since 2009	0
Thomas Lindsay	Approximately 43 percent of all college grades today are A's, an increase of 28 percentage points since 1960	0
Tim Kaine	As governor, I cut $5 billion in spending	1
Tim Kaine	Its estimated that 40 percent of all the guns that are sold in the United States occur with no background records check	3
Tim Kaine	Weve now gained private sector jobs 12 months in a row	1
Tim Kaine	I ended up my time as governor with a general fund budget that was smaller than the one I started with	0
Tim Kaine	The tax burden on Virginia families was lower under Tim Kaine than under George Allen	3
Tim Kaine	Every president since Eisenhower has taken executive action to address immigration issues	1
Jim DeMint	House  Appropriations Chair David Obey's partial earmark ban wouldn't apply to 90% of  earmarks	0
Jim DeMint	A lot of the move to free the slaves ... did not come from the federal government. It came from a growing movement among the people, particularly people of faith	3
Jim DeMint	Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure	5
Jim DeMint	From 2003 to 2006, 'Sesame Street' made more than $211 million from toy and consumer product sales	0
Jim DeMint	We've got more revenue than we ever have	4
Jeb Hensarling	Today almost half our debt is owned by foreigners	0
Jeb Hensarling	What were the old annual deficits under Republicans have now become the monthly deficits under Democrats	4
Roberto Alonzo	Latinos now make up the majority population in Texas	4
Peggy Lehner	Theres actually 600 abortions done after the 20th week of pregnancy every year in Ohio	0
George Nee	This is the first time in our state, and one of the first times in the country, where benefit reductions . . . has happened to people who are retired	2
George Nee	Public sentiment in favor of collective bargaining and in favor of the unions has actually gone up as these governors, I think, have overreached and gone too far and tried to destroy the labor movement	3
Jonathan Karl	Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage	0
Jonathan Karl	Kansas has not elected somebody other than a Republican (to the U.S. Senate) since before 'The Wizard of Oz' hit the movie theaters	0
Nancy Denuccio	We've seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21	4
Joseph Trillo	We got [the Quonset Business Park] for free and were getting zero dollars out of it into the state coffers  other than the fact that it produces the jobs	2
Joseph Trillo	There are 30,000 people that have been killed with seat belts	5
Jeff Greene	Seventy bills [Kendrick Meek] authored, not one of them has passed	2
Jeff Greene	My opponent here has accepted money from Freddie Mac, Fannie Mae (and) hosted subprime mortgage seminars	2
Jeff Greene	Kendrick Meek was named one of the two most corrupt Democrats in Congress by Citizens for Responsibility and Ethics in Washington	4
Jeff Greene	We have that program where immigrants come here and they have to bring a million dollars in order to get a green card if theyre going to create jobs	3
Jeff Greene	If there were not derivatives, there would be no bank loans at all today	3
Steve Crisafulli	Medicaid expansion isnt necessarily a very popular issue on the street	2
Steve Crisafulli	If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid	1
Anna Little	We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone	4
Anna Little	Bob Menendez just voted to increase the government's debt ceiling to $1.9 TRILLION! In his 19 years in Congress, Menendez has helped overspend America over $15 TRILLION into debt	3
Steve Adler	The city of San Antonio reuses almost 40 percent of its water. You know how much the city of Austin reuses? About 5 percent. And that's not right. We can do better	3
Oregon Center for Public Policy 	7 out of 10 Oregon families living in poverty have at least one parent who works	1
Charles Schumer	Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it	1
